Power before,fibr,r,,STD of power
1.396953,4.333614,,,
1.405945,4.329287,,,
1.408884,4.322368,,,
1.408433,4.322213,,,
1.406528,4.321295,,,
1.404864,4.318811,,,
1.404049,4.316656,,,
1.406339,4.31522,,,
1.406259,4.313464,,,
1.407742,4.312292,,,
1.408106,4.311331,,,
1.405826,4.306732,,,
1.40634,4.302652,,,
1.406524,4.303947,,,
1.409161,4.302394,,,
1.410595,4.299119,,,
1.408721,4.297156,,,
1.405297,4.296237,,,
1.404859,4.296516,,,
1.405298,4.293803,,,
1.408796,4.291626,,,
1.409244,4.289993,,,
1.40858,4.287318,,,
1.406091,4.284583,,,
1.406883,4.283309,,,
1.406556,4.282502,,,
1.407554,4.281731,,,
1.410214,4.27867,,,
1.411218,4.272918,,,
1.411894,4.271703,,,
1.411605,4.269423,,,
1.408966,4.268269,,,
1.406604,4.263338,,,
1.407652,4.260004,,,
1.406514,4.261316,,,
